"","mo","temp","NUM_COLLISIONS"
"338",6,60.8,0.916417910447761
"352",6,63.2,0.638805970149254
"359",6,66.8,0.835820895522388
"716",6,65.2,0.664634146341463
"1437",6,62.9,0.890710382513661
"1444",6,61.5,0.584699453551913
"1801",6,56.6,0.51413881748072
"1808",6,66,0.894601542416452
"1815",6,64.7,0.933161953727506
"2165",6,51,0.644736842105263
"2172",6,56.2,0.613157894736842
"2179",6,62.9,0.934210526315789
"2186",6,63.8,0.736842105263158
"2529",6,60.4,0.677165354330709
"2550",6,68.5,0.866141732283465
"16",7,79,0.396825396825397
"366",7,66.7,0.695522388059701
"373",7,72.6,0.647761194029851
"737",7,68.6,0.640243902439024
"744",7,69.7,0.496951219512195
"751",7,65.9,0.466463414634146
"758",7,69.4,0.582317073170732
"1479",7,71.1,0.800546448087432
"1850",7,63,0.42159383033419
"2214",7,69.9,0.423684210526316
"2557",7,66.9,0.766404199475066
"37",8,77.3,0.603174603174603
"401",8,68.1,0.432835820895522
"422",8,68.3,0.361194029850746
"779",8,67.9,0.582317073170732
"1157",8,74.8,0.563829787234043
"1507",8,77.5,0.576502732240437
"1514",8,73.8,0.647540983606557
"1521",8,72.5,0.658469945355191
"1864",8,67.5,0.38560411311054
"1885",8,62.7,0.329048843187661
"2242",8,66.7,0.286842105263158
"2613",8,64.3,0.244094488188976
"72",9,65.4,0.742857142857143
"436",9,59.8,0.692537313432836
"443",9,62.4,0.507462686567164
"450",9,57.5,0.77910447761194
"457",9,59.5,0.611940298507463
"800",9,63.6,0.591463414634146
"814",9,67.9,0.786585365853659
"1164",9,73,0.220744680851064
"1171",9,67.6,0.470744680851064
"1178",9,63.9,0.590425531914894
"1542",9,71,0.677595628415301
"1892",9,65.4,0.195372750642674
"2263",9,62.3,0.518421052631579
"2277",9,57.4,0.371052631578947
"2641",9,68.5,0.624671916010499
"93",10,60.6,0.482539682539683
"107",10,65.3,0.647619047619048
"114",10,57.8,0.653968253968254
"464",10,65.7,0.650746268656716
"478",10,54.4,0.644776119402985
"485",10,50.7,0.656716417910448
"842",10,49,0.570121951219512
"849",10,54.1,0.725609756097561
"1192",10,58.6,0.518617021276596
"1206",10,42.8,0.704787234042553
"1213",10,52.3,0.787234042553192
"1563",10,54.1,0.292349726775956
"1577",10,57.5,0.385245901639344
"1584",10,48.3,0.609289617486339
"1927",10,66.3,0.231362467866324
"1934",10,62.3,0.475578406169666
"1948",10,60.4,0.966580976863753
"2291",10,60.7,0.126315789473684
"2298",10,57.1,0.628947368421053
"2305",10,43.3,0.518421052631579
"2312",10,54.9,0.639473684210526
"2669",10,55.2,0.414698162729659
"2676",10,56,0.540682414698163
"128",11,42.3,0.241269841269841
"142",11,43,0.577777777777778
"149",11,40.3,0.507936507936508
"492",11,42,0.770149253731343
"499",11,47.1,0.167164179104478
"506",11,55.9,0.629850746268657
"513",11,27,0.925373134328358
"856",11,44.6,0.673780487804878
"870",11,52.1,0.798780487804878
"877",11,54.8,0.969512195121951
"1220",11,58.3,0.561170212765957
"1241",11,45.2,0.803191489361702
"1248",11,40.5,0.555851063829787
"1591",11,47.4,0.729508196721312
"1605",11,38.8,0.688524590163934
"1612",11,39.5,0.587431693989071
"1955",11,62.2,0.580976863753213
"1969",11,40.5,0.750642673521851
"1976",11,43,0.460154241645244
"2319",11,47.5,0.805263157894737
"2326",11,41.7,0.115789473684211
"2340",11,45.4,0.763157894736842
"2697",11,48.4,0.897637795275591
"2704",11,45.4,0.62992125984252
"163",12,50.3,0.685714285714286
"170",12,42,0.780952380952381
"184",12,31.5,0.250793650793651
"527",12,40.8,0.713432835820896
"534",12,32,0.716417910447761
"541",12,48.7,0.916417910447761
"548",12,42.5,0.226865671641791
"891",12,35.4,0.533536585365854
"905",12,42.9,0.49390243902439
"1269",12,49.5,0.558510638297872
"1276",12,40.9,0.234042553191489
"1619",12,37.9,0.980874316939891
"1626",12,43.6,0.636612021857924
"1633",12,35.3,0.792349726775956
"1990",12,38.4,0.691516709511568
"2347",12,51,0.642105263157895
"2361",12,42.2,0.621052631578947
"2711",12,44.8,0.469816272965879
"2718",12,48.2,0.881889763779528
"2725",12,35.4,0.309711286089239
"2739",12,39.6,0.307086614173228
"192",1,39.8,0.337313432835821
"206",1,26.3,0.429850746268657
"556",1,23.9,0.265243902439024
"563",1,45.5,0.472560975609756
"577",1,22.2,0.304878048780488
"927",1,32.6,0.561170212765957
"934",1,35.7,0.26063829787234
"1284",1,27.7,0.568306010928962
"1298",1,25.5,0.628415300546448
"1648",1,44.3,0.521850899742931
"1662",1,40,0.516709511568123
"1669",1,48.9,0.277634961439589
"1676",1,28.1,0.295629820051414
"2019",1,38.3,0.607894736842105
"2026",1,32.3,0.431578947368421
"2033",1,45.3,0.205263157894737
"2040",1,31.9,0.331578947368421
"2376",1,47.4,0.0761154855643045
"220",2,28.7,0.495522388059702
"227",2,41.4,0.292537313432836
"241",2,35,0.408955223880597
"591",2,24,0.707317073170732
"598",2,28.2,0.347560975609756
"605",2,27,0.332317073170732
"955",2,36.4,0.449468085106383
"962",2,21.7,0.579787234042553
"1319",2,33.1,0.379781420765027
"1326",2,44.5,0.5
"1333",2,36.5,0.521857923497268
"1683",2,38.1,0.437017994858612
"1690",2,30.1,0.596401028277635
"2054",2,31.5,0.421052631578947
"2061",2,45.6,0.215789473684211
"2418",2,29.4,0.750656167979003
"2425",2,25.9,0.330708661417323
"2432",2,29.2,0.706036745406824
"248",3,38.5,0.37910447761194
"255",3,46,0.438805970149254
"262",3,39.6,0.474626865671642
"269",3,39.8,0.0746268656716418
"619",3,41.3,0.323170731707317
"626",3,27.7,0.448170731707317
"976",3,27,0.609042553191489
"990",3,38.6,0.335106382978723
"1004",3,39.4,0.601063829787234
"1340",3,43.2,0.628415300546448
"1354",3,48.3,0.480874316939891
"1361",3,40.8,0.53551912568306
"1368",3,48.6,0.685792349726776
"1711",3,36.7,0.465295629820051
"1732",3,40.7,0.349614395886889
"2075",3,37.7,0.586842105263158
"2096",3,37.6,0.457894736842105
"2439",3,28.2,0.624671916010499
"2446",3,38.6,0.485564304461942
"2453",3,35.2,0.430446194225722
"2460",3,36.9,0.548556430446194
"276",4,39.6,0.11044776119403
"283",4,49.4,0.635820895522388
"297",4,44.6,0.337313432835821
"640",4,37.1,0.442073170731707
"647",4,47.7,0.615853658536585
"654",4,52.6,0.146341463414634
"668",4,44.2,0.460365853658537
"1011",4,44.2,0.132978723404255
"1018",4,49.8,0.372340425531915
"1025",4,51.5,0.646276595744681
"1032",4,46,0.561170212765957
"1375",4,35.1,0.655737704918033
"1396",4,46.8,0.128415300546448
"1739",4,42.9,0.365038560411311
"1753",4,47.8,0.154241645244216
"1760",4,49.7,0.686375321336761
"2103",4,35.3,0.257894736842105
"2117",4,45.6,0.386842105263158
"2467",4,37.1,0.398950131233596
"2474",4,41.4,0.356955380577428
"2481",4,47.1,0.622047244094488
"2488",4,48.8,0.501312335958005
"318",5,51,0.492537313432836
"682",5,51.8,0.475609756097561
"689",5,56.4,0.75
"696",5,61.1,0.734756097560976
"1039",5,57.1,0.627659574468085
"1046",5,58.3,0.75
"1060",5,61.1,0.75531914893617
"1417",5,55,0.524590163934426
"1424",5,54.6,0.718579234972678
"1431",5,62.8,0.896174863387978
"1767",5,55.4,0.737789203084833
"1781",5,57.5,0.611825192802057
"1788",5,56.8,0.521850899742931
"2131",5,48.4,0.684210526315789
"2145",5,53.9,0.855263157894737
"2159",5,57.7,0.936842105263158
"2509",5,44.9,0.57742782152231
"2516",5,58.9,0.902887139107612
"2523",5,51.6,0.664041994750656
"346",6,60.8,0.701492537313433
"353",6,60.9,0.635820895522388
"1067",6,53.4,0.638297872340426
"1074",6,64,0.664893617021277
"1081",6,64.2,0.507978723404255
"1088",6,65.5,0.800531914893617
"1445",6,62.2,0.778688524590164
"1452",6,63.6,0.680327868852459
"1802",6,52.4,0.524421593830334
"1809",6,67.3,0.958868894601542
"1816",6,63.4,0.917737789203085
"2166",6,54.5,0.618421052631579
"2180",6,67.7,0.944736842105263
"2530",6,58.5,0.561679790026247
"2537",6,63.7,0.73753280839895
"367",7,67.7,0.6
"388",7,72.1,0.51044776119403
"731",7,68.6,0.646341463414634
"738",7,69.5,0.579268292682927
"745",7,71.4,0.557926829268293
"1109",7,67.4,0.678191489361702
"1480",7,73.8,0.729508196721312
"1487",7,75.3,0.699453551912568
"1851",7,62.8,0.3573264781491
"2208",7,70.5,0.597368421052632
"2579",7,70.4,0.398950131233596
"59",8,77.9,0.584126984126984
"1130",8,75,0.702127659574468
"1137",8,67.9,0.529255319148936
"1501",8,71.5,0.595628415300546
"1515",8,69,0.560109289617486
"1865",8,65.2,0.44987146529563
"1886",8,62,0.406169665809769
"2250",8,73,0.689473684210526
"80",9,70.6,0.485714285714286
"87",9,62,0.606349206349206
"437",9,65.5,0.683582089552239
"444",9,56.1,0.677611940298507
"451",9,54.5,0.641791044776119
"801",9,64.6,0.573170731707317
"815",9,59,0.573170731707317
"1172",9,70.8,0.470744680851064
"1179",9,63.5,0.449468085106383
"1529",9,69.9,0.530054644808743
"1550",9,65.4,0.620218579234973
"1893",9,68.1,0.645244215938303
"1907",9,65.5,0.526992287917738
"2257",9,75.7,0.876315789473684
"2264",9,68.9,0.239473684210526
"2271",9,71,0.755263157894737
"2278",9,60.5,0.689473684210526
"2635",9,61.5,0.614173228346457
"2642",9,68.6,0.595800524934383
"101",10,53.8,0.53015873015873
"108",10,55.8,0.631746031746032
"465",10,61.5,0.519402985074627
"486",10,47.5,0.597014925373134
"829",10,63,0.658536585365854
"843",10,57.7,0.61890243902439
"1193",10,59.4,0.609042553191489
"1207",10,58.2,0.829787234042553
"1557",10,60.5,0.248633879781421
"1564",10,54.3,0.83879781420765
"1578",10,49.1,0.366120218579235
"1928",10,68.8,0.802056555269923
"1935",10,51.1,0.719794344473008
"1949",10,57.7,0.616966580976864
"2299",10,57.1,0.618421052631579
"2313",10,47.9,0.705263157894737
"2656",10,61.3,0.320209973753281
"2663",10,56.7,0.388451443569554
"2670",10,56.3,0.42257217847769
"129",11,36.6,0.352380952380952
"136",11,52.4,0.777777777777778
"500",11,45.7,0.737313432835821
"507",11,47,0.597014925373134
"857",11,52.7,0.408536585365854
"871",11,48.9,0.939024390243902
"878",11,56.7,0.594512195121951
"1228",11,55.8,0.944148936170213
"1235",11,45.3,0.75
"1242",11,37.5,0.88031914893617
"1599",11,54.8,0.844262295081967
"1606",11,37.7,0.909836065573771
"1613",11,43.8,0.87431693989071
"1956",11,53,0.652956298200514
"1963",11,46.1,0.491002570694087
"1970",11,51.1,0.858611825192802
"1977",11,37.9,0.496143958868895
"2320",11,56.8,0.594736842105263
"2327",11,51.9,0.792105263157895
"2334",11,48.2,0.636842105263158
"2341",11,46.9,0.410526315789474
"2691",11,53.9,0.509186351706037
"2698",11,46.5,0.601049868766404
"164",12,50.1,0.555555555555556
"171",12,47.3,0.768253968253968
"521",12,41.8,0.456716417910448
"528",12,38.8,0.414925373134328
"535",12,28.6,0.904477611940299
"542",12,38.4,0.343283582089552
"549",12,28.5,0.194029850746269
"885",12,42.5,0.63109756097561
"892",12,48.7,0.734756097560976
"913",12,32.1,0.198170731707317
"1249",12,40.1,0.914893617021277
"1256",12,47.4,0.574468085106383
"1263",12,58,0.938829787234043
"1270",12,54.8,0.789893617021277
"1277",12,42.8,0.348404255319149
"1620",12,41.7,0.762295081967213
"1627",12,39.7,0.540983606557377
"1641",12,49.8,0.37431693989071
"1984",12,42,0.637532133676093
"1991",12,42.6,0.593830334190231
"1998",12,44.9,0.516709511568123
"2005",12,29.5,0.223650385604113
"2348",12,40.6,0.607894736842105
"2362",12,33.3,0.731578947368421
"2712",12,39.9,0.574803149606299
"2719",12,53.1,0.698162729658793
"2726",12,37.5,0.784776902887139
"2733",12,42.8,0.338582677165354
"2740",12,44.7,0.110236220472441
"186",1,27.5,0.238805970149254
"200",1,41.6,0.53134328358209
"214",1,45.1,0.28955223880597
"564",1,41.1,0.545731707317073
"571",1,25,0.286585365853659
"921",1,22.6,0.361702127659574
"928",1,32.1,0.276595744680851
"942",1,21.6,0.148936170212766
"1292",1,32.9,0.472677595628415
"1299",1,29.4,0.521857923497268
"1649",1,46.5,0.344473007712082
"1656",1,45,0.444730077120823
"1663",1,41.6,0.239074550128535
"1670",1,41.1,0.308483290488432
"2034",1,41.1,0.426315789473684
"2041",1,25,0.376315789473684
"2377",1,35,0.26509186351706
"2384",1,44.4,0.296587926509186
"2391",1,31.3,0.467191601049869
"2405",1,36.8,0.601049868766404
"221",2,34.8,0.495522388059702
"235",2,38.7,0.328358208955224
"242",2,44.1,0.447761194029851
"585",2,32.3,0.195121951219512
"592",2,23.7,0.719512195121951
"599",2,35,0.451219512195122
"606",2,25.8,0.326219512195122
"956",2,32.6,0.553191489361702
"970",2,29.9,0.601063829787234
"1327",2,41.5,0.254098360655738
"1334",2,46.9,0.622950819672131
"1677",2,38.7,0.303341902313625
"1684",2,46.2,0.557840616966581
"1691",2,36.6,0.377892030848329
"2048",2,36.4,0.526315789473684
"2069",2,42.6,0.528947368421053
"2412",2,39.1,0.561679790026247
"2419",2,41.1,0.624671916010499
