"","day","mo","NUM_COLLISIONS"
"275",1,4,0.235820895522388
"296",1,4,0.492537313432836
"646",1,4,0.393292682926829
"653",1,4,0.335365853658537
"667",1,4,0.588414634146341
"1024",1,4,0.606382978723404
"1031",1,4,0.414893617021277
"1374",1,4,0.685792349726776
"1752",1,4,0.0822622107969152
"2109",1,4,0.452631578947368
"2116",1,4,0.757894736842105
"2123",1,4,0.58421052631579
"2130",1,4,0.534210526315789
"2466",1,4,0.52755905511811
"2480",1,4,0.671916010498688
"2494",1,4,0.430446194225722
"317",1,5,0.528358208955224
"324",1,5,0.770149253731343
"331",1,5,0.0597014925373134
"674",1,5,0.652439024390244
"681",1,5,0.539634146341463
"688",1,5,0.51219512195122
"695",1,5,0.0884146341463415
"1038",1,5,0.63563829787234
"1045",1,5,0.646276595744681
"1052",1,5,0.436170212765957
"1409",1,5,0.584699453551913
"1416",1,5,0.846994535519126
"1430",1,5,0.10655737704918
"1773",1,5,0.467866323907455
"1780",1,5,0.701799485861183
"2137",1,5,0.636842105263158
"2501",1,5,0.601049868766404
"2508",1,5,0.556430446194226
"2515",1,5,0.755905511811024
"2522",1,5,0.10761154855643
"338",1,6,0.916417910447761
"352",1,6,0.638805970149254
"359",1,6,0.835820895522388
"716",1,6,0.664634146341463
"1437",1,6,0.890710382513661
"1444",1,6,0.584699453551913
"1801",1,6,0.51413881748072
"1808",1,6,0.894601542416452
"1815",1,6,0.933161953727506
"2165",1,6,0.644736842105263
"2172",1,6,0.613157894736842
"2179",1,6,0.934210526315789
"2186",1,6,0.736842105263158
"2529",1,6,0.677165354330709
"2550",1,6,0.866141732283465
"16",1,7,0.396825396825397
"366",1,7,0.695522388059701
"373",1,7,0.647761194029851
"737",1,7,0.640243902439024
"744",1,7,0.496951219512195
"751",1,7,0.466463414634146
"758",1,7,0.582317073170732
"1479",1,7,0.800546448087432
"1850",1,7,0.42159383033419
"2214",1,7,0.423684210526316
"2557",1,7,0.766404199475066
"37",1,8,0.603174603174603
"401",1,8,0.432835820895522
"422",1,8,0.361194029850746
"779",1,8,0.582317073170732
"1157",1,8,0.563829787234043
"1507",1,8,0.576502732240437
"1514",1,8,0.647540983606557
"1521",1,8,0.658469945355191
"1864",1,8,0.38560411311054
"1885",1,8,0.329048843187661
"2242",1,8,0.286842105263158
"2613",1,8,0.244094488188976
"72",1,9,0.742857142857143
"436",1,9,0.692537313432836
"443",1,9,0.507462686567164
"450",1,9,0.77910447761194
"457",1,9,0.611940298507463
"800",1,9,0.591463414634146
"814",1,9,0.786585365853659
"1164",1,9,0.220744680851064
"1171",1,9,0.470744680851064
"1178",1,9,0.590425531914894
"1542",1,9,0.677595628415301
"1892",1,9,0.195372750642674
"2263",1,9,0.518421052631579
