"","temp","visib","wdsp","NUM_COLLISIONS"
"72",65.4,10,5.7,0.742857142857143
"436",59.8,10,8.2,0.692537313432836
"443",62.4,10,7.4,0.507462686567164
"450",57.5,10,10.4,0.77910447761194
"457",59.5,9.8,10.4,0.611940298507463
"800",63.6,10,7.8,0.591463414634146
"814",67.9,8.2,12.3,0.786585365853659
"1164",73,10,11.9,0.220744680851064
"1171",67.6,10,14.5,0.470744680851064
"1178",63.9,10,17.3,0.590425531914894
"1542",71,7.6,8.1,0.677595628415301
"1892",65.4,9.6,13.4,0.195372750642674
"2263",62.3,9.5,13.4,0.518421052631579
"2277",57.4,10,10.1,0.371052631578947
"2641",68.5,8.1,12,0.624671916010499
"93",60.6,10,4.7,0.482539682539683
"107",65.3,9.4,4.5,0.647619047619048
"114",57.8,10,4.3,0.653968253968254
"464",65.7,8.5,11.9,0.650746268656716
"478",54.4,10,7.1,0.644776119402985
"485",50.7,10,10.3,0.656716417910448
"842",49,10,11.8,0.570121951219512
"849",54.1,10,12,0.725609756097561
"1192",58.6,10,17.1,0.518617021276596
"1206",42.8,10,12.6,0.704787234042553
"1213",52.3,10,12.9,0.787234042553192
"1563",54.1,8,24.8,0.292349726775956
"1577",57.5,9.9,12.5,0.385245901639344
"1584",48.3,8.2,12.5,0.609289617486339
"1927",66.3,6.2,10.5,0.231362467866324
"1934",62.3,8.8,13.8,0.475578406169666
"1948",60.4,6.9,27.3,0.966580976863753
"2291",60.7,8.8,10.5,0.126315789473684
"2298",57.1,9.1,9.8,0.628947368421053
"2305",43.3,10,11.7,0.518421052631579
"2312",54.9,9.8,11.7,0.639473684210526
"2669",55.2,9.5,13.5,0.414698162729659
"2676",56,8.3,17.1,0.540682414698163
"128",42.3,10,5.5,0.241269841269841
"142",43,10,6.3,0.577777777777778
"149",40.3,10,4.9,0.507936507936508
"492",42,10,13.9,0.770149253731343
"499",47.1,10,15.9,0.167164179104478
"506",55.9,5,13.5,0.629850746268657
"513",27,10,15.4,0.925373134328358
"856",44.6,10,18.9,0.673780487804878
"870",52.1,6.5,9.5,0.798780487804878
"877",54.8,4.5,15.5,0.969512195121951
"1220",58.3,9.5,7.8,0.561170212765957
"1241",45.2,8.5,17.4,0.803191489361702
"1248",40.5,10,11.3,0.555851063829787
"1591",47.4,9.6,18.8,0.729508196721312
"1605",38.8,10,21.2,0.688524590163934
"1612",39.5,10,11.2,0.587431693989071
"1955",62.2,7.4,11.8,0.580976863753213
"1969",40.5,10,15.4,0.750642673521851
"1976",43,10,12.4,0.460154241645244
"2319",47.5,9.7,9.2,0.805263157894737
"2326",41.7,10,8.2,0.115789473684211
"2340",45.4,7.8,8.1,0.763157894736842
"2697",48.4,3.6,21.7,0.897637795275591
"2704",45.4,10,12.8,0.62992125984252
"163",50.3,2.8,5.7,0.685714285714286
"170",42,5.6,9.5,0.780952380952381
"184",31.5,10,6.8,0.250793650793651
"527",40.8,6.8,11.2,0.713432835820896
"534",32,10,12.5,0.716417910447761
"541",48.7,3.5,6.7,0.916417910447761
"548",42.5,8.8,14.1,0.226865671641791
"891",35.4,10,19.6,0.533536585365854
"905",42.9,9.7,7.5,0.49390243902439
"1269",49.5,9.4,14.3,0.558510638297872
"1276",40.9,9.3,18.5,0.234042553191489
"1619",37.9,9.5,6.6,0.980874316939891
"1626",43.6,6.5,14.2,0.636612021857924
"1633",35.3,9.9,14.1,0.792349726775956
"1990",38.4,9.8,7.9,0.691516709511568
"2347",51,2.7,11.3,0.642105263157895
"2361",42.2,6.2,14.6,0.621052631578947
"2711",44.8,4.3,20.5,0.469816272965879
"2718",48.2,7.3,13.5,0.881889763779528
"2725",35.4,10,11,0.309711286089239
"2739",39.6,5.2,13,0.307086614173228
"192",39.8,9.8,10.4,0.337313432835821
"206",26.3,6.5,10.8,0.429850746268657
"556",23.9,9.4,17.6,0.265243902439024
"563",45.5,5.2,11.8,0.472560975609756
"577",22.2,10,10.7,0.304878048780488
"927",32.6,8.4,16.3,0.561170212765957
"934",35.7,10,13.1,0.26063829787234
"1284",27.7,7.9,20.3,0.568306010928962
"1298",25.5,10,21.7,0.628415300546448
"1648",44.3,5.4,15.2,0.521850899742931
